model,training_seconds,validation_inference_seconds,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1
CatBoost,58.88906289997976,0.017357299977447838,0.9804804804804805,0.8281364625349588,0.7585513078470825,0.7680591338815795,0.9796944975871107,0.9600591715976331,0.6574634170214848,0.6911845585507989,0.6707901404356846,0.9574782451852984
RandomForest,0.8678350999834947,0.12446929997531697,0.9804804804804805,0.8268097344562092,0.7585513078470825,0.7671417881195881,0.9798498049059285,0.9630177514792899,0.6710819411296739,0.6918536786578581,0.6782811251324775,0.9604228505975971
HistGradientBoosting,13.36971599998651,0.2051283000037074,0.9804804804804805,0.8268097344562092,0.7585513078470825,0.7671417881195881,0.9798498049059285,0.9659763313609467,0.6731638418079096,0.6803810943155205,0.6728797239829897,0.9630933242872275
LogisticRegression,0.16399089997867122,0.0017171999788843095,0.972972972972973,0.836091818964454,0.7445926390010053,0.7664018300887142,0.9714455950532276,0.9408284023668639,0.629852516559337,0.6362277465018555,0.6228989562409109,0.9382861565201234
ExtraTrees,1.8280863999971189,0.14447960001416504,0.9744744744744744,0.8198881001676034,0.7572099262240107,0.7621585947811961,0.9743051153498914,0.9644970414201184,0.6674759558996012,0.6921882387113877,0.6771078798675918,0.961524445566358
XGBoost,4.845590899989475,0.022501499974168837,0.975975975975976,0.8192038066179943,0.7575452716297786,0.7616883116883117,0.976030576030576,0.9659763313609467,0.6543426606469129,0.693033547249004,0.6705350343025824,0.9625364695897688
