model,K,horizon,split,precision,recall,f1,pr_auc,roc_auc,fpr,support,normal_count,confusion_matrix,threshold,positive_rate,negative_count,cm
Persistence,3,1,train,0.9943342776203966,0.9943342776203966,0.9943342776203966,0.9913566981475559,0.9946671388101984,0.005,753,400.0,"[[398, 2], [2, 351]]",,,,
Persistence,3,2,train,0.9943342776203966,0.9943342776203966,0.9943342776203966,0.9913566981475559,0.9946671388101984,0.005,753,400.0,"[[398, 2], [2, 351]]",,,,
Persistence,3,3,train,0.9915014164305949,0.9915014164305949,0.9915014164305949,0.9870591225288958,0.9920007082152975,0.0075,753,400.0,"[[397, 3], [3, 350]]",,,,
Persistence,3,1,validation,0.9905660377358491,0.9905660377358491,0.9905660377358491,0.9876726880189254,0.9850789372352714,0.02040816326530612,155,49.0,"[[48, 1], [1, 105]]",,,,
Persistence,3,2,validation,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9755233753258535,0.9701578744705429,0.04081632653061224,155,49.0,"[[47, 2], [2, 104]]",,,,
Persistence,3,3,validation,0.9716981132075472,0.9716981132075472,0.9716981132075472,0.9635520619207847,0.9552368117058145,0.061224489795918366,155,49.0,"[[46, 3], [3, 103]]",,,,
Persistence,3,1,test,0.993421052631579,0.993421052631579,0.993421052631579,0.9932145017356849,0.9133771929824562,0.16666666666666666,158,6.0,"[[5, 1], [1, 151]]",,,,
Persistence,3,2,test,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9865155685683229,0.8267543859649124,0.3333333333333333,158,6.0,"[[4, 2], [2, 150]]",,,,
Persistence,3,3,test,0.9802631578947368,0.9802631578947368,0.9802631578947368,0.9799032004979137,0.7401315789473684,0.5,158,6.0,"[[3, 3], [3, 149]]",,,,
Persistence,5,1,train,0.9943342776203966,0.9943342776203966,0.9943342776203966,0.9913637714964152,0.994654575996128,0.005025125628140704,751,398.0,"[[396, 2], [2, 351]]",,,,
Persistence,5,2,train,0.9943342776203966,0.9943342776203966,0.9943342776203966,0.9913637714964152,0.994654575996128,0.005025125628140704,751,398.0,"[[396, 2], [2, 351]]",,,,
